ID,Label,id
32933,0.10081659266619059,32933
32713,0.6248760196000059,32713
90799,0.0,90799
30990,0.8645997436977556,30990
110120,0.0,110120
64879,0.5285691030441152,64879
86700,0.0,86700
32599,1.0,32599
42504,1.0,42504
30559,0.889778643851049,30559
97930,0.10081659266619059,97930
41814,0.758417030931963,41814
83325,0.0,83325
104376,0.41699175757719986,104376
57754,0.7776863412207592,57754
90016,0.0,90016
19652,0.5575092021096691,19652
62811,0.9308170090778787,62811
47551,0.8683019715698137,47551
11370,0.3936561211858207,11370
70550,0.0,70550
49494,0.13005166820202668,49494
124132,1.0,124132
30807,1.0,30807
112804,0.46307652813828204,112804
70340,0.12126078350823469,70340
27515,0.0,27515
74851,0.5736411283198869,74851
23773,0.4053602990939139,23773
1905,0.9758239556549904,1905
36533,0.9817577101390849,36533
85121,0.0,85121
49630,0.8939716125101779,49630
120981,1.0,120981
52205,0.926239863075105,52205
89516,0.0,89516
46859,0.8683019715698137,46859
95029,0.3633791107771503,95029
33309,0.3498796738622895,33309
36372,1.0,36372
46642,0.8683019715698137,46642
77876,0.0,77876
27967,0.36573094877539025,27967
63091,0.6420802847538057,63091
112046,1.0,112046
100185,0.41699175757719986,100185
75328,0.0,75328
119761,0.6057800023130853,119761
18970,0.5575092021096691,18970
93993,1.0,93993
16516,0.5250187537938338,16516
111056,0.0,111056
104819,0.41699175757719986,104819
1834,0.9758239556549904,1834
81597,0.0,81597
21208,0.0,21208
104115,0.10081659266619059,104115
60668,0.7997324815181136,60668
77085,0.0,77085
31114,0.8645997436977556,31114
44601,0.9254174664601797,44601
39482,0.8861195634478356,39482
35622,0.9897825547000249,35622
105276,0.8254626423430605,105276
111644,0.5061968976537533,111644
19609,0.5575092021096691,19609
46831,0.8683019715698137,46831
67796,0.24408843747650824,67796
97497,1.0,97497
43621,1.0,43621
21305,0.0,21305
31350,0.8645997436977556,31350
25638,0.6961677485617147,25638
39958,0.8861195634478356,39958
116905,0.11358309721201945,116905
63544,1.0,63544
71318,0.10081659266619059,71318
119726,0.617522135114004,119726
98813,0.3096214360636979,98813
66351,0.6872610722107267,66351
94473,0.1661974714644009,94473
113650,0.6420802847538067,113650
12016,0.0823129769057216,12016
114787,0.33886453767480695,114787
59160,0.8936413245846365,59160
76200,0.0,76200
77519,0.0,77519
53197,0.8176781667086378,53197
12077,0.5849779714037703,12077
112146,0.21990924595331746,112146
87227,0.0,87227
71274,0.41322330656342804,71274
91319,0.0,91319
27975,0.36573094877539025,27975
34909,0.5616675315689328,34909
70008,0.8314593663430873,70008
8719,0.1612187815494613,8719
12879,0.3936561211858207,12879
78498,0.0,78498
117980,0.0,117980
86705,0.0,86705
